windspeed,factor_wt,power_wt,radiation,temperature,factor_pv,power_pv,e_load,e_price
1,0.04,30000,800,30,0.96,50000,10000,0.2
1.5,0.08,31000,820,29.9,0.92,49000,12000,0.21
2,0.12,32000,840,29.8,0.88,48000,14000,0.22
2.5,0.16,33000,860,29.7,0.84,47000,16000,0.23
3,0.2,34000,880,29.6,0.8,46000,18000,0.24
3.5,0.24,35000,900,29.5,0.76,45000,20000,0.25
4,0.28,36000,920,29.4,0.72,44000,22000,0.26
4.5,0.32,37000,940,29.3,0.68,43000,24000,0.27
5,0.36,38000,960,29.2,0.64,42000,26000,0.28
5.5,0.4,39000,980,29.1,0.6,41000,28000,0.29
6,0.44,40000,1000,29,0.56,40000,30000,0.3
6.5,0.48,41000,1020,28.9,0.52,39000,32000,0.29
7,0.52,42000,1040,28.8,0.48,38000,34000,0.28
7.5,0.56,43000,1060,28.7,0.44,37000,36000,0.27
8,0.6,44000,1080,28.6,0.4,36000,38000,0.26
8.5,0.64,45000,1100,28.5,0.36,35000,40000,0.25
9,0.68,46000,1120,28.4,0.32,34000,42000,0.24
9.5,0.72,47000,1140,28.3,0.28,33000,44000,0.23
10,0.76,48000,1160,28.2,0.24,32000,46000,0.22
10.5,0.8,49000,1180,28.1,0.2,31000,48000,0.21
11,0.84,50000,1200,28,0.16,30000,50000,0.2
11.5,0.88,51000,1220,27.9,0.12,29000,52000,0.19
12,0.92,52000,1240,27.8,0.08,28000,54000,0.18
12.5,0.96,53000,1260,27.7,0.04,27000,56000,0.17
