timestamp,electric_load_kw,wind_speed_m_s,solar_irradiance_w_m2
2026-01-01T00:00:00,52000,5.64,0
2026-01-01T01:00:00,50000,5.52,0
2026-01-01T02:00:00,49000,5.40,0
2026-01-01T03:00:00,48000,5.28,0
2026-01-01T04:00:00,49000,5.26,0
2026-01-01T05:00:00,53000,4.84,0
2026-01-01T06:00:00,62000,5.12,26
2026-01-01T07:00:00,75000,5.50,128
2026-01-01T08:00:00,86000,5.88,298
2026-01-01T09:00:00,91000,6.16,468
2026-01-01T10:00:00,94000,6.04,612
2026-01-01T11:00:00,96000,6.32,697
2026-01-01T12:00:00,97000,6.50,731
2026-01-01T13:00:00,95000,6.38,689
2026-01-01T14:00:00,92000,6.26,578
2026-01-01T15:00:00,90000,5.74,425
2026-01-01T16:00:00,93000,5.62,238
2026-01-01T17:00:00,102000,5.80,77
2026-01-01T18:00:00,112000,6.28,0
2026-01-01T19:00:00,118000,6.76,0
2026-01-01T20:00:00,110000,6.64,0
2026-01-01T21:00:00,93000,6.42,0
2026-01-01T22:00:00,75000,6.20,0
2026-01-01T23:00:00,62000,6.08,0
2026-01-02T00:00:00,53600,6.52,0
2026-01-02T01:00:00,51500,6.40,0
2026-01-02T02:00:00,50500,6.28,0
2026-01-02T03:00:00,49400,6.16,0
2026-01-02T04:00:00,50500,5.74,0
2026-01-02T05:00:00,54600,5.72,0
2026-01-02T06:00:00,63900,6.00,29
2026-01-02T07:00:00,77300,6.38,143
2026-01-02T08:00:00,91100,6.76,333
2026-01-02T09:00:00,96700,6.64,523
2026-01-02T10:00:00,96800,6.92,684
2026-01-02T11:00:00,98900,7.20,779
2026-01-02T12:00:00,99900,7.38,817
2026-01-02T13:00:00,97900,7.26,770
2026-01-02T14:00:00,94800,6.74,646
2026-01-02T15:00:00,92700,6.62,475
2026-01-02T16:00:00,95800,6.50,266
2026-01-02T17:00:00,105100,6.68,86
2026-01-02T18:00:00,119400,7.16,0
2026-01-02T19:00:00,126000,7.24,0
2026-01-02T20:00:00,113300,7.52,0
2026-01-02T21:00:00,95800,7.30,0
2026-01-02T22:00:00,77300,7.08,0
2026-01-02T23:00:00,63900,6.96,0
2026-01-03T00:00:00,46800,5.20,0
2026-01-03T01:00:00,45000,5.08,0
2026-01-03T02:00:00,44100,4.96,0
2026-01-03T03:00:00,43200,4.44,0
2026-01-03T04:00:00,44100,4.42,0
2026-01-03T05:00:00,47700,4.40,0
2026-01-03T06:00:00,55800,4.68,17
2026-01-03T07:00:00,67500,5.06,83
2026-01-03T08:00:00,77400,5.04,193
2026-01-03T09:00:00,81900,5.32,303
2026-01-03T10:00:00,81600,5.60,396
2026-01-03T11:00:00,83900,5.88,451
2026-01-03T12:00:00,87300,6.06,473
2026-01-03T13:00:00,85500,5.54,446
2026-01-03T14:00:00,82800,5.42,374
2026-01-03T15:00:00,81000,5.30,275
2026-01-03T16:00:00,83700,5.18,154
2026-01-03T17:00:00,91800,5.36,50
2026-01-03T18:00:00,95800,5.44,0
2026-01-03T19:00:00,100700,5.92,0
2026-01-03T20:00:00,99000,6.20,0
2026-01-03T21:00:00,83700,5.98,0
2026-01-03T22:00:00,67500,5.76,0
2026-01-03T23:00:00,55800,5.24,0
2026-01-04T00:00:00,44700,7.28,0
2026-01-04T01:00:00,43000,7.16,0
2026-01-04T02:00:00,42100,6.64,0
2026-01-04T03:00:00,41300,6.52,0
2026-01-04T04:00:00,42100,6.50,0
2026-01-04T05:00:00,45600,6.48,0
2026-01-04T06:00:00,53300,6.76,11
2026-01-04T07:00:00,64500,6.74,53
2026-01-04T08:00:00,74000,7.12,122
2026-01-04T09:00:00,75800,7.40,193
2026-01-04T10:00:00,77300,7.68,252
2026-01-04T11:00:00,82600,7.96,287
2026-01-04T12:00:00,83400,7.74,301
2026-01-04T13:00:00,81700,7.62,284
2026-01-04T14:00:00,79100,7.50,238
2026-01-04T15:00:00,77400,7.38,175
2026-01-04T16:00:00,80000,7.26,98
2026-01-04T17:00:00,84700,7.04,31
2026-01-04T18:00:00,91800,7.52,0
2026-01-04T19:00:00,101500,8.00,0
2026-01-04T20:00:00,94600,8.28,0
2026-01-04T21:00:00,80000,8.06,0
2026-01-04T22:00:00,64500,7.44,0
2026-01-04T23:00:00,53300,7.32,0
2026-01-05T00:00:00,53000,4.96,0
2026-01-05T01:00:00,51000,4.44,0
2026-01-05T02:00:00,50000,4.32,0
2026-01-05T03:00:00,49000,4.20,0
2026-01-05T04:00:00,50000,4.18,0
2026-01-05T05:00:00,54100,4.16,0
2026-01-05T06:00:00,63200,4.04,27
2026-01-05T07:00:00,78500,4.42,135
2026-01-05T08:00:00,91200,4.80,315
2026-01-05T09:00:00,92800,5.08,495
2026-01-05T10:00:00,95900,5.36,648
2026-01-05T11:00:00,97900,5.24,738
2026-01-05T12:00:00,98900,5.42,774
2026-01-05T13:00:00,96900,5.30,729
2026-01-05T14:00:00,93800,5.18,612
2026-01-05T15:00:00,91800,5.06,450
2026-01-05T16:00:00,94900,4.54,252
2026-01-05T17:00:00,107000,4.72,81
2026-01-05T18:00:00,119200,5.20,0
2026-01-05T19:00:00,120400,5.68,0
2026-01-05T20:00:00,112200,5.96,0
2026-01-05T21:00:00,94900,5.34,0
2026-01-05T22:00:00,76500,5.12,0
2026-01-05T23:00:00,63200,5.00,0
2026-01-06T00:00:00,54600,6.04,0
2026-01-06T01:00:00,52500,5.92,0
2026-01-06T02:00:00,51500,5.80,0
2026-01-06T03:00:00,50400,5.68,0
2026-01-06T04:00:00,51500,5.66,0
2026-01-06T05:00:00,55700,5.24,0
2026-01-06T06:00:00,65100,5.52,30
2026-01-06T07:00:00,78800,5.90,150
2026-01-06T08:00:00,93300,6.28,350
2026-01-06T09:00:00,99100,6.56,550
2026-01-06T10:00:00,98700,6.44,720
2026-01-06T11:00:00,100800,6.72,820
2026-01-06T12:00:00,101900,6.90,860
2026-01-06T13:00:00,99800,6.78,810
2026-01-06T14:00:00,96600,6.66,680
2026-01-06T15:00:00,94500,6.14,500
2026-01-06T16:00:00,97700,6.02,280
2026-01-06T17:00:00,107100,6.20,90
2026-01-06T18:00:00,123100,6.68,0
2026-01-06T19:00:00,129900,7.16,0
2026-01-06T20:00:00,115500,7.04,0
2026-01-06T21:00:00,97700,6.82,0
2026-01-06T22:00:00,78800,6.60,0
2026-01-06T23:00:00,65100,6.48,0
2026-01-07T00:00:00,54100,5.52,0
2026-01-07T01:00:00,52000,5.40,0
2026-01-07T02:00:00,51000,5.28,0
2026-01-07T03:00:00,49900,5.16,0
2026-01-07T04:00:00,51000,4.74,0
2026-01-07T05:00:00,55100,4.72,0
2026-01-07T06:00:00,64500,5.00,23
2026-01-07T07:00:00,80500,5.38,113
2026-01-07T08:00:00,92400,5.76,263
2026-01-07T09:00:00,94600,5.64,413
2026-01-07T10:00:00,97800,5.92,540
2026-01-07T11:00:00,99800,6.20,615
2026-01-07T12:00:00,100900,6.38,645
2026-01-07T13:00:00,98800,6.26,608
2026-01-07T14:00:00,95700,5.74,510
2026-01-07T15:00:00,93600,5.62,375
2026-01-07T16:00:00,96700,5.50,210
2026-01-07T17:00:00,110600,5.68,68
2026-01-07T18:00:00,121500,6.16,0
